CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CrimeMajorHeadID,CrimeMinorHeadID,latitude,longitude,BriefFacts
35,11048202600035,202600035,2026-06-10 18:11:22,508,1048,3,103,12.964451328615272,77.58585918764457,Incident reported at Whitefield Police Station. Offence under Financial Fraud. Investigation underway.
36,11045202600036,202600036,2026-06-03 18:11:22,506,1045,2,102,12.943458718627243,77.59161006112524,Incident reported at Koramangala Police Station. Offence under Two-Wheeler Theft. Investigation underway.
37,11044202600037,202600037,2026-07-18 18:11:22,507,1044,3,103,12.981222531768951,77.62469015545236,Incident reported at Indiranagar Police Station. Offence under Financial Fraud. Investigation underway.
38,11047202600038,202600038,2026-05-24 18:11:22,503,1047,3,103,12.937154752211319,77.61886459578504,Incident reported at Jayanagar Police Station. Offence under Financial Fraud. Investigation underway.
39,11048202600039,202600039,2026-06-13 18:11:22,501,1048,4,104,12.985137647100006,77.57784157632952,Incident reported at Whitefield Police Station. Offence under Stalking / Harassment. Investigation underway.
40,11045202600040,202600040,2026-06-20 18:11:22,504,1045,2,102,12.982622771972215,77.6223435350944,Incident reported at Koramangala Police Station. Offence under Two-Wheeler Theft. Investigation underway.
41,11046202600041,202600041,2026-06-20 18:11:22,503,1046,3,103,12.967678102300608,77.57689433799611,Incident reported at Cubbon Park Police Station. Offence under Financial Fraud. Investigation underway.
42,11044202600042,202600042,2026-06-09 18:11:22,504,1044,2,102,12.958261355918573,77.59291944237432,Incident reported at Indiranagar Police Station. Offence under Two-Wheeler Theft. Investigation underway.
43,11044202600043,202600043,2026-04-29 18:11:22,509,1044,4,104,12.94622406518583,77.59458805273105,Incident reported at Indiranagar Police Station. Offence under Stalking / Harassment. Investigation underway.
44,11048202600044,202600044,2026-06-17 18:11:22,503,1048,2,102,13.017893497052917,77.61562398047683,Incident reported at Whitefield Police Station. Offence under Two-Wheeler Theft. Investigation underway.
45,11047202600045,202600045,2026-05-16 18:11:22,501,1047,4,104,13.021184626558675,77.55958661350385,Incident reported at Jayanagar Police Station. Offence under Stalking / Harassment. Investigation underway.
46,11046202600046,202600046,2026-06-24 18:11:22,501,1046,3,103,12.97997186971965,77.58213699482762,Incident reported at Cubbon Park Police Station. Offence under Financial Fraud. Investigation underway.
47,11047202600047,202600047,2026-06-03 18:11:22,507,1047,3,103,12.970336239867017,77.59228682138605,Incident reported at Jayanagar Police Station. Offence under Financial Fraud. Investigation underway.
48,11047202600048,202600048,2026-07-01 18:11:22,508,1047,3,103,12.99940745663338,77.60854705248724,Incident reported at Jayanagar Police Station. Offence under Financial Fraud. Investigation underway.
49,11045202600049,202600049,2026-07-21 18:11:22,506,1045,1,101,13.005095112018589,77.62849187298521,Incident reported at Koramangala Police Station. Offence under Robbery / Extortion. Investigation underway.
50,11047202600050,202600050,2026-06-29 18:11:22,502,1047,4,104,12.999089846433407,77.58659576692094,Incident reported at Jayanagar Police Station. Offence under Stalking / Harassment. Investigation underway.
